"ApplicationID","Hired","AgeBracket","TravelPreference","HiringDepartment","DistanceFromHome","EducationLevel","EducationField","Gender","Role","Internships","StandardHours","Summary","ExtraCurriculars"
"BB2","No","40 and Over","Travel_Rarely","Research & Development","3","4","Medical","Female","Research Scientist","0","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  I have completed 0 internships, and can provide references.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Debating"
"BB3","No","Under 40","Travel_Rarely","Human Resources","4","3","Life Sciences","Female","Human Resources","4","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have done 4 internships, building valuable work experience.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Football"
"BB11","No","40 and Over","Travel_Frequently","Research & Development","2","2","Life Sciences","Female","Laboratory Technician","0","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  I have already done 0 internships, building work experience.  As you can see, I am a hard worker  and would be a good additional at your firm.","Tennis"
"BB13","No","40 and Over","Travel_Rarely","Research & Development","11","3","Medical","Female","Laboratory Technician","4","80","Recently I completed my Medical education, and wish to start my career in a corporate role working for your company.  I have done 4 internships, building valuable work experience.  As you can see, I am highly motivated  and I am a good match for the role.","Athletics"
"BB16","Yes","40 and Over","Travel_Rarely","Research & Development","29","3","Medical","Female","Laboratory Technician","4","80","Recently I completed my Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 4 internships, and can provide references. As you can see, I am very dedicated and I hope to hear from you soon.","Basketball"
"BB17","No","40 and Over","Travel_Rarely","Research & Development","6","3","Engineering","Female","Laboratory Technician","0","80","Hi there. I am applying for a role after completing my Engineering education, and wish to start my career in a corporate role in a corporate role.  I have already done 0 internships, and can provide references.  I am a hard worker  and I hope to hear from you soon.","Basketball"
"BB19","No","Under 40","Travel_Frequently","Sales","27","2","Life Sciences","Female","Sales Executive","4","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 4 internships.  As you can see, I am highly motivated  and I hope to hear from you soon.","Tennis"
"BB20","No","40 and Over","Travel_Rarely","Research & Development","25","3","Engineering","Female","Manufacturing Director","3","80","Recently I completed my Engineering education, and wish to start my career in a corporate role in the corporate sector.  I have done 3 internships, building valuable work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Hockey, Hockey, Athletics"
"BB25","Yes","Under 40","Travel_Frequently","Research & Development","9","2","Medical","Female","Laboratory Technician","1","80","I am a Medical education, and wish to start my career in a corporate role working for your company.  Already I have done 1 internships.  As you can see, I am highly motivated  and would be a good additional at your firm.","Tennis, Athletics, Debating"
"BB27","No","40 and Over","Travel_Rarely","Research & Development","1","1","Life Sciences","Female","Research Scientist","1","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  Already I have done 1 internships, building valuable work experience.  I am very dedicated  and I am a good match for the role.","Rowing"
