"speaker","title","msg"
"Operator",NA,"Good day and welcome to Dollar Tree Q1 2023 Earnings Call. Today's call is being recorded. At this time, I will now turn the call over to Randy Guiler. Please go ahead, sir."
"Randy Guiler","Vice President, Investor Relations at Dollar Tree","Good morning, and welcome to our call to discuss results for Dollar Tree's first-quarter fiscal 2023. With me on today's call are Chairman and CEO, Rick Dreiling and CFO, Jeff Davis.

Before we begin, I would like to remind everyone that various remarks that we will make about expectations, plans and prospects for the company constitute forward-looking statements for the purposes of the Safe Harbor provisions under the Private Securities Litigation Reform Act of 1995. These statements are subject to risks and uncertainties, and our actual results may differ materially from those indicated in these forward-looking statements. For information on the risks and uncertainties that could affect our actual results, please refer to the Risk Factors, Business and Management's Discussion and Analysis of Financial Condition and Results of Operations sections in our Annual Report on Form 10-K filed on March 10, 2023 our Form 10-Q for the most recently ended fiscal quarter, our most recent press release and Form 8-K, and other filings we make from time-to-time with the Securities and Exchange Commission. We caution against reliance on these forward-looking statements made today, and we disclaim any obligation to update or revise these statements except as may be required by law.

Also during this call we will discuss non-GAAP financial measures, reconciliations of these non-GAAP items to the most directly comparable GAAP financials are provided in today's earnings release and SEC filings. These non-GAAP measures are not intended to be a substitute for GAAP results. Unless otherwise stated, we will refer to financials on a GAAP basis. Unless otherwise stated, all first-quarter comparisons for fiscal 2023 are against the same period a year ago. Please note that a supplemental slide deck that outlines a number of the company's key operating metrics is available on the IR portion of our website.

Following our prepared remarks, Rick and Jeff will take your questions. Given the large number of those that would like to participate, I ask that you please limit your questions to one. I will now turn the call over to Rick."
"Rick Dreiling","Chairman and Chief Executive Officer at Dollar Tree","Thank you, Randy. Good morning, everyone, and thank you for joining our call. As many of you are aware, Dollar Tree will be hosting its Investor Conference in four weeks, on June 21st in Norfolk, Virginia, near our corporate headquarters. The conference will be webcast, and I hope to see many of you at this important event.

Our investor conference has been overdue, and we understand the level of anticipation for many investors. I hope next month's gathering will provide each of you a better understanding of the transformation taking shape and the speed with which we are making these changes to increase both our productivity and profitability at Dollar Tree and Family Dollar. We have been hard at work building the team we need to drive the transformation of this business. The more we dig in, the more starkly clear the opportunity becomes, and we are on our way to most fully realize upon it.

Our stores are of comparable size to those of our closest peers, but they generate far less revenue per store. We understand why and we know how to close the gap. There are no structural impediments to our progressing towards this goal. As we do, we will drive growth and gain market-share.

With the operating leverage embedded in the retail model, accelerating growth in revenue per store will translate into higher margins. And higher margins will increase our return on capital and fueling accelerated store growth. We've gone down this road before, and we know the way. We have a tremendous opportunity to improve both of our segments, and we are pursuing that with vigor.

While our enterprise-wide transformation is still in the early stages, we are already seeing results. Our early initiatives have begun to deliver growth and market share gains. We are driving this transformation in the most dynamic retail environment I've seen in my career. While this volatility is real and will generate bumps along the way, it will not affect where this great adventure ends.

In addition to the historic levels of inflation and labor market challenges, retailers have seen in just the past quarter, elevated levels of shrink, and even further pressure on the consumers' willingness to spend on discretionary goods. Shrink and the mix-shift from discretionary goods have pressured margins through our retail. We are no exception. Ultimately, shrink will either be resolved through defensive merchandizing, store closures and/or through government action at the local level. Regarding the near-term unfavorable impact of consumables mix, we believe consumer shopping behavior will normalize over-time and the margin profile will rebound.

We are acutely attuned to each of these bumps. In the end, none will materially affect our delivering on the promise of this transformation. Unless we allow them to distract us from what we know we have to do, and we will not allow that to happen. We bench our top-line sales performance primarily on three specific metrics -- sales per square-foot growth, growth in transaction count and unit sales or volume growth. Based on these three metrics, I am pleased with our quarter one performance and the direction we are headed.

Overall, the fundamentals of our business are strong. Most significantly, we continue to gain market-share and our traffic and unit volume growth are driving strong top-line momentum. The market-share gains are a clear validation of the actions that we've taken on pricing in wages and the ongoing improvements we have made in our merchandise assortment, service level, and store standards.

Now, despite our commercial success in building momentum, we are experiencing near-term margin pressures from the macro factors impacting sales mix and elevated shrink. But the most important message that I want to convey today is that we remain completely focused on delivering on our full potential, and are executing on our transformation investments at full speed.

I will now review the highlights for quarter one. Following my remarks, Jeff will provide a detailed overview of our financial performance and our updated 2023 outlook. For the quarter, we delivered $7.32 billion in sales, an increase of 6.1%. With enterprise comp growth of 4.8% and operating income of $419.7 million leading to EPS of $1.35 and adjusted EPS of $1.47, when adjusting for a $30 million accrual related to pending legal matters regarding our West Memphis distribution center.

Our merchandising and execution remains strong with comp increases of 3.4% at Dollar Tree and 6.6% at Family Dollar. The underlying sales strength was concentrated in consumables and driven by meaningful transaction growth across both segments. Results were even more impressive in the context of Dollar Trees' 11.2% comp increase from a year ago. After fully cycling the $1.25 price point in February, customer traffic remains very favorable at Dollar Tree as comparable traffic count increased by 5.5%. Notably, this was the fourth consecutive quarter of sequential improvement in comps at Family Dollar with comp traffic up 4.3%.

For nearly all of 2022, comp traffic counts trends in both segments were negative. So, quarter one was an important inflection point for the company with traffic increasing both sequentially and Year-over-Year. The turnaround at Family Dollar is gaining meaningful traction. In addition to the improving traffic, Family Dollar's comp was driven by a 2.2% increase in average ticket. At Family Dollar, we increased our private brand penetration by approximately 80 basis-points.

Moving forward, we expect to continue growing private brands penetration as we further improve merchandise presentation, packaging and quality control standards. For example, we recently opened a new test kitchen here in Chesapeake, and are excited about our growing pipeline of private brand products across consumables, health and beauty and other high-growth categories. We are also encouraged by the margin opportunities associated with expanding our private brands business.

Last year we took pricing actions at Family Dollar to bring us more in line with our most direct competition. These price investments strengthened our value offering at Family Dollar and followed our transition to the $1.25 price point at Dollar Tree. Along with investments in wages and store standards, the steps we have taken on pricing across both segments are critical to improving our long-term financial and operating performance.

As I mentioned earlier, the consumer continues to be under pressure. There are simply fewer dollars available to them, and those dollars are not going as far as they did a year or two ago. We are past the multiple rounds of government stimulus, SNAP dollars have been reduced, and tax refunds are running lower. These impacts combined with persistent inflation have more families prioritizing needs over wants. Both Dollar Tree and Family dollar are part of the solution for shoppers buying for need and close to need, as they look to stretch their paychecks.

Our stores are nearby, easy to shop, and provide tremendous value. While these factors are contributing to the mix-shift and pressuring our gross margins, they are also driving more shoppers into our stores with increased frequency.

We will continue to respond to the needs of the consumer across both consumables and discretionary categories by offering tremendous value and a great selection. While this mix-shift towards consumables is clearly a margin headwind, it is worth noting that the promotional environment remains rational and is not driving any additional margin pressure.

At Dollar Tree, we made great strides with our multi-price strategy, and we remain on track to add $3 and $5 plus items to another 1,800 stores this year. In quarter one, we added Dollar Tree Plus assortments to more than 400 stores, and anticipate accelerating the pace of this rollout over the balance of the year.

Additionally, we have aggressively expanded our product assortment at Dollar Tree stores with $3, $4, and $5 frozen and refrigerated products, adding 3,500 stores last year alone on this initiative. During the first quarter, we added multi-price frozen and refrigerated doors at more than 400 Dollar Tree stores.

Both our Dollar Tree Plus and our multi price frozen assortments drive incremental sales, with average ticket more than doubling in stores that we have added this expanded offering. Consumers are clearly responding, and the sales driving initiatives are already having a measurable impact on our results. At Family Dollar, we are on track to add 16,000 new cooler doors in 2023. This is helping drive Family Dollar to its highest market share in close to four years as measured by quarter one dollar volume.

On a unit volume basis, Family Dollar's quarter one share of industry growth was the highest in more than three years. We continue to improve the in-store experience at Family Dollar and completed more than 250 store renovations in the quarter.

On last quarter's call, I shared the strategic rationale for increased SG&A spending in 2023. These investments should be pursued as rapidly as our management bandwidth will allow. The sooner each is implemented, the sooner we will enjoy the benefits, and the greater impact of our other investments. All of this is ultimately connected and inter dependent. Many of our investments will be ongoing, including those in our associates and store conditions. And again, the results are starting to come in. We are already seeing meaningful improvements in sales momentum and reduced associate turnover.

In closing, we have a plan. I'm confident this plan will drive meaningful top-line growth, increase productivity and improve profitability. We are vigorously executing on it. We will not allow bumps in the road to distract us or slow us down. And it's clear, it's starting to work. Our investments in price, our stores, our merchandise and our associates have already begun delivering results.

We will get to where we're going, but how we get there matters as well. I firmly believe that investments in our people in the communities we serve are the cornerstones of a successful retailer. We've taken a comprehensive approach to improve wages and benefits for our people and to increase associate engagement to make Dollar Tree and Family Dollar great places to work and grow.

It is vital for the continued success of our organization to have a strong culture. While there is work to be done, we are pleased that our culture efforts are taking root and building the foundation for a thriving future.

Finally, I am so very proud of the tremendous efforts of our 200,000 plus associates, each of whom has contributed to the great progress we are making, and each of whom deserves our collective thanks.

While Jeff will cover our outlook in more detail, I want to emphasize that we remain confident in the outlook for our business and our continued sales momentum. Our go-to-market strategies at Dollar Tree and Family Dollar are working and clearly resonating with consumers. I look forward to sharing more detail on our long-term vision and our multi-year outlook next month at our Investor Conference.

I will now turn the call over to Jeff."
"Jeff Davis","Chief Financial Officer at Dollar Tree","Thank you, Rick, and good morning, everyone. As Rick mentioned, our top-line performance was strong in both the Dollar Tree and Family Dollar segments. It was driven by meaningful growth and customer traffic, continued market-share gains and an increase in underlying unit growth.

Total sales increased 6.1% to $7.3 billion based on comp-store sales growth of 4.8%. Traffic increased 5% on a consolidated basis, and average ticket was down slightly. Across the enterprise, our sales mix of consumables increased approximately 200 basis-points as customer purchase behavior responded to deteriorating macro conditions. Our service levels were particularly strong in Q1. In-stock positions improved by 400 basis points in the Dollar Tree segment and by 200 basis-points at Family dollar. Our DC service levels also improved for both segments by nearly 1600 basis points at Dollar Tree and approximately 500 basis points at Family Dollar.

Operating income decreased by 43% to $419.1 million. Adjusted operating income decreased by 39% to $449.7 million. Recall that in Q1, we cycled the first full quarter of the $1.25 price point transition at Dollar Tree, which resulted in unfavorable margin comparisons, given the outsized benefit we saw in Q1 last year. The variance between operating income and adjusted operating income came from a $30 million accrual related to previously disclosed legal proceedings associated with our Family Dollar distribution center in West Memphis, Arkansas.

Gross profit decreased by 4.7% to $2.23 billion as gross margin contracted by 340 basis-points. The biggest driver of the gross margin decline was merchandise cost. In Q1 last year, we benefited from the rollout of $1.25 price point at Dollar Tree. In the current period, our sales mix shifted approximately 200 basis-points towards lower-margin consumable merchandise. The impact of higher-cost of goods and unfavorable sales mix were partially offset by lower freight costs and markdowns as we cycled the impact of our West Memphis DC closure last year.

As Rick noted, elevated levels of shrink represent a persistent challenge in Q1. Shrink negatively impacted gross margin by 60 basis-points and EPS by an incremental $0.14 per share compared to last year. On a business segment basis, Dollar Tree gross margin declined by approximately 530 basis-points, primarily from lower merchandise margin, based on the higher consumable mix and cycling the initial transition to the $1.25 price point, elevated shrink expense and increased distribution costs.

We benefited modestly from lower spot rates for ocean freight relative to last year. But to date, this is only impacting a small portion of our shipments with larger impact of savings from freight rate declines to come in the second half and into the years ahead.

Family Dollar gross margin decreased by approximately 100 basis points with largely the same factors contributing to the decline at Dollar Tree. Specifically, gross margin was negatively impacted by mix, product cost increases, higher shrink and higher distribution costs, partially offset by lower markdowns and lower freight expenses.

SG&A as a percentage of revenue increased 150 basis-points to 24.8%. The biggest driver was wage investments for store and distribution center associates. We also experienced higher store facility costs as we continue to focus on improving store conditions as well as higher professional and marketing expenses.

Corporate support and other expenses were 1.7% of revenue, down approximately 10 basis-points from last year. Net income was $299 million and EPS was $1.35 in comparison to $2.37 a year ago. Adjusted net income was $325.1 million and adjusted EPS was $1.47. The $0.12 adjustment was related to the West Memphis legal accruals.

Our effective tax-rate was 24.1% versus 23.1% last year, reflecting lower stock-based compensation deductions and higher non-deductible expenses, partially offset by higher work opportunity tax credits. Adjusted for the impact of the West Memphis accrual, the Q1 implied tax-rate for this year was 23.3%, or 20 basis-points higher than Q1 last year.

Moving to the balance sheet and cash-flow, my comments will reflect balance sheet comparisons at the end of Q1 2023 versus Q1 2022. Inventory increased 6.5%, primarily from an increase in merchandise costs, DC unit volume growth, the continued rollout of our Dollar Tree multi price inventory and new-store growth. The quality of our inventory remains high and manageable.

Q1 capital expenditures were $350.4 million versus $253.4 million. For fiscal 2023, we continue to expect capital expenditures to total approximately $2 billion with approximately 40% dedicated to business continuity and the balance directed towards growth, optimization and productivity improvement.

In Q1, we repurchased approximately one million shares for $151.1 million of which $7.7 million did not settle until after quarter end. Cash-and-cash equivalents totaled $872.8 million compared to $1.2 billion.

Our cash position increased $230 million in Q1 from the end of fiscal 2022, led by working capital improvements, partially offset by capital expenditures and share repurchases. Free-cash flow improved to $402 million from $285 million last year.

Moving to our sales and EPS outlook, the Company expects consolidated net sales for the second-quarter will range from $7 billion to $7.2 billion based on a mid-single-digit increase in comp-store sales for the enterprise and for Dollar Tree and Family Dollar segments.

Diluted EPS for the second quarter is expected to be in the range of $0.79 to $0.89. As a reminder, the bulk of our ocean freight savings for the year will fall in the second half as previously mentioned. With respect to full-year fiscal 2023 guidance, recall that fiscal 2023 as a 53rd week.

Consolidated sales for the full-fiscal year are now expected to range from $30 billion to $30.5 billion. The Company expects to deliver a low-to mid-single-digit comparable store sales increase for the year comprised of a low-to mid-single-digit increase in the Dollar Tree segment and a mid-single-digit increase in the Family Dollar segment.

Selling square footage is expected to grow by 3% to 3.5% for the year with new-store growth back-end weighted. While we modestly raised the midpoint of our topline guidance, we are incrementally more cautious on our margin outlook, given the growing industry-wide challenges of accelerating shrink, the unfavorable shift in sales mix and their impact on our near-term profitability.

Since the beginning of the fiscal year, the impact of these two factors on our financial results has intensified. We expect that over time, our mix of discretionary will normalize and that we will also improve our performance on shrink through defensive merchandizing efforts, real-estate optimization and perhaps higher prices to compensate for areas at systematically higher shrink.

We expect the combined and continuing full-year earnings impact of unfavorable consumables mix and higher shrink is expected to be approximately $0.55 per share in 2023. Our modeling considerations for 2023 outlook includes the following. We expect consolidated depreciation and amortization to range from $845 million to $850 million. Net interest expense is expected to be approximately $28 million in Q2 and $110 million for the year. Our outlook assumes a tax rate of 24.1% to 24.3% for the second-quarter and 23.9% to 24.1% for fiscal 2023. While our share repurchases are not included in our outlook, we had $1.7 billion remaining under our share repurchase authorization as of April 29th. Weighted-average diluted share counts are assumed to be 221.4 million shares for Q2 and 221.6 million shares for the full year.

For the balance of 2023, we will work diligently to offset potential margin pressures that could come from elevated levels of discretionary inventory. We are taking actions to mitigate the potential impact of these cost pressures such as further optimizing our promotional spending and vendor allowances, identifying opportunities to further reduce inbound freight costs and managing repairs and maintenance costs. We continue to see full-year earnings benefit of $1 per share from lower ocean freight costs this year which could be significantly weighted towards the back half of the year, and an additional $1 per share benefit in 2024 and beyond.

As a result of the factors I just outlined, we are revising our diluted GAAP EPS outlook for fiscal 2023 to a range of $5.73 to $6.13, which includes the expected contribution from the 53rd week and the $0.12 legal reserve taken in Q1.

I will now turn the call back over to Rick for closing remarks."
"Rick Dreiling","Chairman and Chief Executive Officer at Dollar Tree","Thank you, Jeff. We are continuing to execute at a high level, and acting with urgency around our business transformation, and I am pleased with our solid start to 2023. We are looking forward to our Investor Conference next month where we expect to provide our investors and analysts with a multi-year outlook for the business, including a substantive and comprehensive overview of the key elements of our business.

Our team has identified multiple levers to unlock value, and we have strong underlying business momentum that positions us favorably in the current retail and economic environment. We see a path to greater earnings power over the next three years, and look forward to sharing our plans in more detail next month.

I also want to take this opportunity to welcome our new Supply Chain Officer, Mike Kindy. I have worked with Mike in previous organizations, and he is a proven subject matter expert and thought leader in supply-chain and logistics. I am very confident that Mike will demonstrate continued success at Dollar Tree based on his past record. I also want to thank John Flanigan for his contributions which helped us get to where we are today.

While John communicated to us at the outset his desire to serve only for a short period over the past year. John has led our supply-chain strategy and has overseen the early stages of the process to optimize our distribution network, and he has had a tremendous impact.

We are moving at a fast pace in our journey to fundamentally reposition our combined retailing operations for sustainable, long-term growth. Our efforts are already paying off in the form of significant market-share gains at both segments. Both formats have a clear runway for accelerated growth in productivity and profitability.

Our leaders have complete ownership over the factors that will shape our outlook for the next three to five years. We have a winning team of more than 200,000 associates who are highly motivated and eager to succeed. I look forward to sharing more next month at our conference.

And one last note before we go to Q&A, I want to share some IR news with you. Several months ago, Randy Guiler communicated with us his retirement plans. This advance notification provided us with ample opportunity to seek Randy's replacement. I want to thank Randy for his nine years of dedicated service, leading the IR function at Dollar Tree. I am pleased to share that Bob LaFleur joined Dollar Tree on Monday of this week as our new SVP of Investor Relations. Randy will be with us at our upcoming Investor Conference, and is continuing in his current role with the company through the month of June to help facilitate a smooth transition. Please join me in congratulating Randy on his impending retirement, and Bob on his new role at Dollar Tree.

Operator, Jeff and I are now ready to take questions."
"Operator",NA,"Thank you. [Operator Instructions] We will take our first question from John Heinbockel from Guggenheim. Your line is open. Please go ahead."
"John Heinbockel","Analyst at Guggenheim Partners","Thanks. So, Rick, it's more of a strategic question. If I think about your initiatives and then the consumer, do you think that consumable penetration right that mix now will remain elevated, maybe the consumables mix goes higher over-time. What's your thought on that, and then, mitigating the impact of mix on margin. Private label will help, but maybe talk about where do you think that goes and the opportunity to do sort of ultimately a DG Fresh like distribution initiatives to bring down COGS in that area."
"Rick Dreiling","Chairman and Chief Executive Officer at Dollar Tree","Thank you, John. Great question. There is a lot of meat in answering that question. The first thing I'd like to say is the strength that we are experiencing in consumables has nothing to do with weakness in our discretionary. The fact that we are responding to the needs of the consumer, which is the shift towards consumables is a really significant step forward for us in that we are introducing consumable products, especially on the Dollar Tree side that the consumer is responding to. Now when I talk about our discretionary, I think it's also important for everyone in this call to realize that our discretionary is a little bit different than what you'd see out in the marketplace. Our discretionary tends to be high-value items that you can compare to another operator in other retailer and see a significant difference in the retail price point. So that's part of the reason I'm still very bullish on where we are with discretionary.

Now, as the shift continues, the advantage for us it's twofold -- number one, private brands and the amount of work that's being done on private brands, and what I like to say is not just on the consumable side, our private brand effort includes HVAC or HPC, and all of the higher-margin private-label products. So that's another way for us to accelerate the margin on the consumables side. And let's not forget shrink, when you think about the pressure that we're experiencing. Shrink tends to be cyclical, and what happens with shrink as we all work to mitigate it. If you can, all costs that can be taken out gets best [Phonetic] on the consumer eventually. So, we're keeping an eye on it, and I would say, John, again, as we talked about market, the shrink issue, we have the four classes of shrink stores with four being the highest. The shrink impact is pretty uniform through all four classes, which I've never seen that in my career, which is truly fascinating. So, in regards to the fresh concept, right now, we are committed to frozen food and refrigerated, which is one of the highest-growing categories with our particular consumer."
"John Heinbockel","Analyst at Guggenheim Partners","Thank you."
"Randy Guiler","Vice President, Investor Relations at Dollar Tree","Next question please."
